Unnamed: 0,text,Emotion
282852,i need to feel like people can love because because im not convinced that i believe that people have that capacity,love
305640,i will feel he has betrayed or even rejected me,neutral
615910,im moving some things from my house to the new place at the moment and i am feeling sooooo lethargic,neutral
42622,i am forgetting them and i am trying to remind myself what was that i thought of as it was such a good idea and i can not remember and this makes me so frustrated i feel dumb,neutral
672664,i am feeling very inadequate at the moment lol,neutral
767699,i wake up with a bad feeling like someone was furious with me the other day when in fact its just these vague nightmares that seem so incredibly real it actually begins to hurt my feelings,neutral
215310,i feel most creative at night,neutral
102737,i arrived at my destination re energized and feeling as though i had just had a long lovely conversation with a dear friend with whom i had not visited in a long time,love
251169,i know you mean to help him she said but he feels tortured by your treatments,neutral
3887,i feel strange,neutral
756949,i feel we are so incredibly blessed,neutral
59290,i have a feeling that many of the pieces will require someone with a fearless personality to carry them off hence the list below,neutral
195335,i wasnt feeling terrific either,neutral
248688,i make it for myself i leave the cheese but omit the mayonnaise unless i m feeling naughty but i add plenty of salsa and lime juice,neutral
279160,i have an uncontrollable feeling that something tragic is going to happen in my life,neutral
240189,i feel they need to find things out for themselves and expose themselves gradually to the unfortunate reality of a world we live in,neutral
326365,i cant even tell what i am feeling because i have convinced myself that my body doesnt cant tell,neutral
331759,i feel like god has been so gracious to us with these babies health,neutral
120482,i feel happy blessed and thankful today because of successfully passing the licensure examination for teachers,happiness
262364,im feeling very joyful now because god gave me joy unspeakable,fun
526231,i still just feel like theyre still a less innocent being to begin with,neutral
110386,i really remembered feeling slightly enthralled by danger,neutral
231297,i feel is very worthwhile and fits into the mission of a href http www,neutral
727707,i want to make you feel this trusting arms let me fall once again i stood close to an enemy and closer to a friend ties that bind you have been severed,neutral
19733,i need her to not feel pressured into saying it and if she wont well then what we have sucks and will not continue,neutral
470942,i feel petty on top of sad tears in my eyes over someone unworthy of my love listening to a song i recorded with r and the guys just a week ago at their amazing house,sadness
545693,i feel really scared about the chance of innocent people may be executed,neutral
641245,i feel a valued creator at dc comics,neutral
612394,i feel for supporting me in my choices for telling me about better things and it all started when he told me he was happy for me,happiness
221615,i feel like saying these feelings my feelings does would just make people shy away more because nobody wants to be your friend when youre down,neutral
796118,i guess made me feel pleasantly surprised,surprise
633079,i feel so helpless watching my poor little baby suffer with so little i can do for him,neutral
379493,i was emotionally numb suppressing my feelings because i didn t think they were acceptable,neutral
739821,i did feel more relaxed and was so happy to have food,happiness
245132,i wish i didnt feel so impatient,neutral
226684,i was plying around with the system feeling impressed at how everything just worked with raspbmc i discovered that i wasnt quite done yet,neutral
730990,i turn in the child support papers and i feel hesitant but it has to be done,neutral
289436,i believe not only should he come home to find it clean and organized and inviting but that he should feel that im glad that he is there,neutral
231158,i have been feeling a bit unorganised and stressed recently so this is part of my new aim to be super duper organised and less stressed,neutral
679893,i am writing about this state because years into this blog i know this is what will feel the most precious to me down the road remembering and reliving this honeymoon phase with our home,neutral
721489,i couldn t hang around too long listening in so pottered on feeling increasingly gloomy through the glum faced georgians,neutral
54057,i feel that is how we can be safe to be ourselves and trust,neutral
221073,i have a feeling i say that every year but every year i m perpetually surprised by how quickly the holidays sneak up on me,surprise
94040,ive got a few days off but hopefully i can get back to it when im back at work it feels really productive,neutral
48903,i feel ownership in some weird way of all of that already,neutral
63075,im feeling him all over my belly now so im curious to find out what position hes in tomorrow at my doctors appointment,neutral
695407,i could still feel the toll in my legs so i was glad it was a social ride,neutral
490140,i feel awkward sharing this layout of myself but i wanted to show you how great that sotm is for scrapbooking,neutral
404651,i feel like a kid at christmas because i am so very excited about it,enthusiasm
140792,i feel hurt puts distance between the reader and the character whereas i m hurt does not,neutral
797654,i feel worthless useless ugly stupid unlikable and unlovable,neutral
655958,i have the feeling its got to be plenty strange and perhaps maddeningly gimmicky,neutral
804529,i thought how nice my hand is warm and i feel less cold wet and miserable,neutral
227749,i have a feeling this outfit is going to be a popular one,neutral
329151,i have a feeling she is going to be a lap cat and very sweet,neutral
727023,i got to the freeway my feelings had evolved from being envious of her to feeling sorry for myself,neutral
291500,i should finally feel handsome when i m invisible,neutral
57421,i would desperately victimize myself to the gaining of one pound and feel all of my work had gone to vain when not seeing a consistent downward trend on the scale every single day,neutral
332136,i feel shitty that im doing this,neutral
764330,i allowed myself to feel the really shitty feelings while i was running because a the endorphins were flowing so it hurt less and b so i could pretend i was running away from them,neutral
441236,i was little better than a pagan but with only that kind of skimpy biblical background i became greatly disturbed for i began to feel and sense and acknowledge gods gracious presence,neutral
823394,i now feeling frightened,neutral
779918,i was feeling a little restless so i decided to get up and pace back and forth while listening to the game,neutral
169549,i so feel inspired i should go for jenna in a particular way,neutral
760396,i feel really thrilled and surprised,surprise
373947,i have made it a practice to shift into neutral when i feel restless,neutral
690702,i was just last week feeling virtuous as i headed for no,neutral
778381,im feeling awfully jolly all of a sudden and in the mood to share a spot of musical fun involving everyones favourite gentleman of leisure and his faithful valet iframe allowfullscreen frameborder height src http www,fun
430712,i feel pretty in cashmere,neutral
766201,i feel less stressed and at the end of the day usually discover that ive done more,neutral
433079,im back in here from the long travel i feel lethargic and too lazy to do anything,neutral
818529,i put it into hibernation mode on ravelry because im simply not working on it at the moment but whenever i spare it more than a passing thought i feel excited about working on it again so before long,enthusiasm
225513,i feel successful when i am working and accomplishing my goals,neutral
404066,i remember reading it feeling terrified at the thought and simply enthralled in how brilliant it was of a concept,neutral
799270,i feel fine alliance stand by me alliance oh darling esp im down esp baby its you ace frehley jamming beatles paul stanley amp gene simmons jealous guy peter criss youve got to hide your love away union union is john corabi bruce kulick james hunting brent fitz,love
749396,i still have yet to find one person with this ambition who has been satisfied enough to feel completely content,happiness
339211,i took today and now i feel rotten,neutral
466235,im feeling anxious about seeing family while were there,neutral
309701,i was playing in the waves with him and feeling a little intimidated a href http raisingflowersandskids,neutral
118790,i try to always be hopeful and that helps keep me feeling ok,neutral
713286,i do feel bad because im pretty sure im not going to be able to get the other done before we leave for vacation,neutral
53248,i mentioned this on my fb profile but i ve gotten to the point where if i see a pilot with a well worn leather pilot s bag that s seen some serious milage all scratched up and almost falling apart i feel reassured,neutral
156709,im afraid to hurt their feelings and they just throw mine around like something unimportant,neutral
611990,i feel good,neutral
348510,im just feel with a proudness for him im thrilled to have him giving me this its like my birthday everyday i love birthdays,love
690990,i am feeling like i look really cute and that makes me feel really good,neutral
251416,i feel like i have slept for a long time to wake up lost and i feel like i need to start all over again,neutral
753263,i only wanna look appropriately simple and comfortable to make me feel pretty enough,relief
91974,i feel that we always have things we think in our heads but often there is no one around to hear these clever thoughts,neutral
128366,i explained after a little bit of silent treatment that it made me feel weird,neutral
42232,i hate feeling isolated and rejected like this,hate
194204,i felt and still feel i feel so much rage and despair i feel i was punished because i was selfish before and i did not get a chance to redeem myself it was a storm of feeling just suffocating me to the point i could not take anymore,anger
299380,i was feeling a little nervous about my in laws descending therefore,neutral
73504,i thought i was the only one who constantly lied deceived conned people for profit held no empathy or regard for other peoples safety heavily aggressive constantly feeling agitated or depressed narcissistant inability to maintain relationships and the inability to tolerate boredom in the world,sadness
414964,i wasn t feeling too fab and i ve decided not to do raw for the time being,neutral
688145,i cannot continue to maintain this positive role if i feel i am still inhibited which i am,neutral
42237,i do however try and control charlie brown especially when i feel anxious,neutral
519384,i feel so needy mainly beacuse i am not used to being alone at night,neutral
228608,i never really show it i feel somewhat eager to talk to most of them again i have made attempts i don t want to force it on them but they never really seem willing to reciprocate to my subtle attempt sadly,sadness
509434,ill feel calm,neutral
384160,i told you the mother she is special i feel like her intuition is so keen and certainly shows in the way her daughter helps her gather oils and such,neutral
436451,i have been feeling festive just not as much as previous years,neutral
523741,i dont have any sort of tickets on myself at all but when people do good by me and treat in a way that i feel deserves friendship i am a very loyal friend,neutral
427962,i told the designer that it was very fitting for me because im always feeling like i dont belong in my job with my friends with my creative aspirations,neutral
453743,i lack the interpersonal skill necessary to save my life thus i couldnt feel less bothered to attempt to try to find a lover,love
132245,i ever stop feeling resentful,neutral
315451,i am and isnt afraid to grow i feel myself more eager to comply with the advances she wants to see in me,enthusiasm
743067,i have this stupid feeling were too into the activity since weve devoted so much time to it,neutral
760443,i am not feeling i find it a bit boring that may be because it has way to many characters,neutral
73136,i always have the feeling i dont like her which is very funny because she is my one and only sister and,fun
228188,i feel more convinced than ever that in times like these silence is the best remedy,neutral
471172,i feel so impatient with myself and think i should be doing more than waiting tables and making yarnbombs and drawings,neutral
149174,i feel is because i invest too much into caring about other people and caring what they think as well,neutral
82974,i just feel pissed,neutral
468122,i was feeling pretty rotten and the clearing of the cloud had made it a little too hot for tearing up a mountain i decided i had to go for it and somehow managed to drag myself up the mountain in only thirty minutes,neutral
150214,ive finally stopped feeling sorry for myself about canceling my vacation with my family and surprise road trip due to stomach flu so i figured i would write a post about what im thankful for,surprise
658072,i feel the brand is so successful,neutral
315521,i have a feeling that my owners wont be as impressed they never seem to enjoy it when i dump the trash to help them out with leftovers in the kitchen or when i dig up lost treasure in the garden and present them with my findings,happiness
325348,i didnt even talk to boys for the most part because i didnt feel like dealing with my mother if she saw me having a conversation however innocent with a boy,neutral
502011,i wanted to be alone the most when i was feeling homesick or physically sick,neutral
364245,i am only seventeen and i already feel like i fucked my life up and i feel like i have failed,neutral
52401,i feel confident that with time more and more historic preservation will occur just because we are a city,neutral
149829,i don t feel frightened by not knowing things by being lost in a mysterious universe without any purpose which is the way it really is as far as i can tell possibly,neutral
85850,im enjoying my time here and feeling so thankful that even after an amazing adventure i still long for my home as much as i do,happiness
332755,i honestly think im feeling so uncertain because shes so darn young,neutral
27626,i feel or how bitter the words of a hymn taste,neutral
529605,i feel fantastic and im still alive while youre dying ill be still alive and when youre dead i will be still alive still alive,neutral
481230,i will feel more lively then,neutral
305295,i feel inadequate to deal with the present and am therefore constantly preparing for the future,neutral
825783,im thinking hell probably just get over it and get on with his day but i still feel horrible that he was crying and that he tripped,neutral
588745,i never want to know the feeling of giving up a beloved pet because my child is allergic,love
32687,i feel that so few have become keen on the idea of picking up a physical object to the point of opting to read on their smartphone or tablets,neutral
752093,i feel like a character in a romantic comedy the one who makes all the wrong assumptions actually,neutral
750291,i am not feeling so terrific i will come back and read this and rekindle my attitude and enthusiasm for my training as well as the commitment i have made and why i have made it,neutral
684309,im feeling really optimistic,neutral
324279,i feel so fucked up when i saw the question being so easy,neutral
452875,i am being a bit silly but my point is that i don t feel deprived like i have on past diets,neutral
48079,i was going to fall back on our tasty frittata but i was feeling a bit more adventurous,neutral
798701,im starting to feel like an ungrateful brat myself,neutral
487799,i asked your cousins to do it but they were probably feeling just as troubled,neutral
149319,i always had this negative perception when i was asked about getting pregnant and my misscariage i always walked away from those conversations feeling somewhat offended,neutral
406440,i feel a little jealous when groups of students who all travelled here together share smiley pictures of each other on facebook but honestly i am so glad that i am forced to make new friends and create a totally new life and new routines for myself,neutral
369470,i feel fine kuroda insisted but the yankees described the injury as a left foot contusion and kuroda walked gingerly from the clubhouse shower to his locker as he prepared for his postgame interview,neutral
124450,i now feel sorta rich where im living im not sure i like the feeling but it beats having no dishwasher and microwave and eating only beans rice and corn tortillas five meals in a row like we did when i was twelve mostly cuz we didnt have anything else,neutral
732791,i planned it but it feels a bit rushed don t you think,neutral
670009,i feel reassured with the many new callers and musicians with so much talent carrying on the tradition,neutral
811437,i had to give up my love,love
78980,i have to be on the record and share the fact that i have been feeling weird,neutral
831986,i hated watching you defend yourself because i will always feel that it is my duty and i hated watching you with those women who had been held prisoner for so long and the tears that you couldn t keep at bay when they told you about the women and children who had not survived the experiments,hate
791925,i cant see a solution i feel agitated annoyed that these problems are getting in the way of me living a low stress life,neutral
30756,im not feeling clever,neutral
678017,i have a feeling they were very grumpy,neutral
416616,i tweaked with the picture in photoshop to give it a painting feel isnt the headband gorgeous,neutral
406875,i feel i was a tad bit bitchy,neutral
315242,i start to feel agitated i just tell myself to calm down and i refer back to those verses,neutral
676910,i am beginning to feel as if i am a crutch that everybody leans on whenever there is a task that is unpleasant or nobody wants to do,neutral
723313,i returned home feeling reenergized and invigorated ready to take on the world,neutral
289783,i feel about reading and supporting others in the writing and reading community jamboree,neutral
669687,i feel deeply the truth that so much of my lifespan has in many ways been a missed opportunity to be more prepared with death and thus more engaged with living a great life,neutral
370983,i smiled and kissed the shell of his ear feeling his flawless skin under my hands,neutral
188594,i sit here feeling incredibly bikini unfriendly especially thong unfriendly what would be my plan of action,neutral
249742,i feel like thoughts of romantic relationships and happiness are definitely present in most people throughout all walks of life,neutral
119010,i feel like i m doing something worthwhile,neutral
15313,i was feeling particularly gloomy,neutral
520719,i never used to feel complacent i used to spend every single minute of the day doing or planning or preparing for things with almost manic energy,neutral
190075,i know i said that i would get this to you guys next week however i am feeling pretty generous so ill give you guys the scoop right now,neutral
371541,i know it feels like not a romantic night for you at first blush but if you re thinking that you would be mistaken,neutral
680746,i understand the feeling of a writer unsure of his skill unsure of his audience wondering if he has wasted hours and hours of his life making marks on a page,neutral
10177,i consider these things and the prejudices of people in favour of ancient customs and regulations i feel anxious for the fate of our monarchy or democracy or what ever is to take place,neutral
76834,i will go on throughout my day telling myself that i feel terrific,neutral
189988,i couldnt shake the feeling that i had finally arrived by divine design in place where it could come true,neutral
44499,im tired of sitting on my hands trying not to be angry when i feel completely enraged and have every right to be when honestly you have none right or room to even feel crossed,anger
141135,i do like to brag about john wayne mostly because i feel he does not get the credit he deserves and im afraid he will be an actor that will be washed away and forgotten starting with this generation,neutral
525724,ill let you go i am thankful that have u appeared in my life you are the one that i dont want to loss it is pain that loss you but i feel more wanna to die that ignored by you with so much messages also not reply a single word,neutral
373591,i love trench coats whenever i wear one i instantly feel more elegant i think it has something to do with the simple cut,love
161133,i cant feel fabulous every single day,neutral
288470,i feel slightly annoyed but if i step out of entitled ego i realize that rest is good for bodies even chicken bodies and i can chuckle imagining a chicken council with the elected madame being given her daily pass in rotation,neutral
25781,i am feeling slightly remorseful,neutral
216196,i feel fine ep w ps odeon spain beatles i feel fine ep w ps odeon spain a href http musicmemorabiliaauction,neutral
119485,i feel that the yogi should be devoted first and foremost to life,neutral
101294,i remember still feeling a little disappointed with the trip the people in the tour and the places im about to go to in the days to come on that second day of the trip,neutral
131538,i feel in my heart and i don t want to risk getting all sentimental and teary,neutral
109686,i get how hard it is to work out when you feel like you ve been beaten down for hours a day,neutral
519743,i learned what its truely like to feel and be submissive,neutral
349920,i really feel i understand it and when i showed my program to my professor i think he was quite impressed with my way of doing it,neutral
383387,i feel proud of myself for doing it,neutral
806286,i feel is listless boredom,boredom
106264,i hoped that i would hear and feel that moment of connection with the divine this morning,neutral
342939,ive been struggling with this nagging feeling of discontent lately,happiness
286171,im feeling pretty terrific,neutral
203929,i feel like an emotional response won t get me as far as a well reasoned one,neutral
117989,i pranced around on that first day feeling insanely smug that i had managed to avoid the culture shock that most travellers experience when they come to china,empty
378293,i start to feel fabulous after getting some sleep,neutral
327934,i feel is really the suffering of earth,neutral
42672,i miss falling in love and feeling cute and goofing around,love
809791,i feel like a heartless and cheap person for it,neutral
195578,im pretty much sure this is synonymous only to me that i like writing when i feel a little low angry and dejected mostly about things which are probably hard to express verbally,anger
803932,i had tried to clean the part up as well as i could but still i was left with a feeling that even my own femur would be more elegant should it find its way on the nose of a jet fighter,neutral
302361,i found my way to one of the chairs around the kitchen table and sat feeling shaken,neutral
104756,i feel angry and useless and a failure at everything,anger
186338,i didnt feel bitchy when i took these pictures,neutral
349168,i feel indulgently fond of most of my department though,neutral
358048,i hope its a lot of fun for you to hear and maybe youll feel some inspiration at least the creative feeling will manifest itself in your life and whatever you do however you live it,fun
544682,i am so proud of you for buying those toys so that you could feel me working your tender little man pussy,neutral
544069,i was feeling rather distraught over who to vote for bears or colts,neutral
504366,i appreciate the attention but it makes me feel awkward,neutral
759271,i didnt see a category for possessive theyve totally got you covered if you are feeling nostalgic romantic adventurous relaxed or happy,happiness
72243,i guess people feel insecure in the world of ideas,neutral
374332,i feel a bit of sadness or loss i just remind myself that love is never lost no person is every lost and all is well,sadness
426087,i am not feeling jolly and enjoying a beautiful october and lots of other blah blahs,happiness
765199,i feel more of the unhappy things happening didnt expect all of this to happen,happiness
286416,i could watch them hours and still feel amused,neutral
815055,i enjoy about his work is the genuine feel and the pleasant message he is trying to deliver with all this,happiness
112898,i realised how tired and restless i was as i could tell i was forcing myself to stay awake in order to not feel rude and fall asleep on the paster during his sermon,neutral
393639,i feel that should you only have one coat the camel would make the most perfect choice especially if you are looking for a softer alternative to black but not a big fan of a href http fashionedbylove,love
285012,i still feel that there is a possibility that it could happen again because of the hateful world we live in,hate
801070,i would say im feeling contented with my new roles as each day brings new beginnings and challenges,happiness
527380,i feel like your pathetic excuse for a girlfriend,neutral
248634,i feel like the things im making will be sooo cute and really enjoyed,happiness
627620,im willing to do other dc characters as well in small amounts but these are the ones i feel most comfortable picking up,relief
265734,im not feeling bitter today,neutral
125797,i genuinely feel hughes is regretful for what he has done and controversially i admire him for how hes held himself since being released,relief
553611,i have more than a couple drinks in the evening i wake up feeling rotten,neutral
355935,i feel like jacob wrestling with god and im pretty sure ill come out of this season with a new identity,neutral
523875,i want to do everything i can not to burn bridges or make things awkward or make anyone feel unwelcome,neutral
144453,i should be sad about all these things upset feeling ungrateful,sadness
406612,i guess her absence from the world left me feeling unprotected,neutral
667463,i feel content and happy to know that he turned to me when he was in despair,happiness
611987,i get to feel virtuous that i m doing my part to limit what goes into the landfill,neutral
823337,i feel so helpless all the time and in school even if i did want to change my group of friends i wouldnt be able to,neutral
762973,i feel like i ve been robbed of something vital,neutral
411552,i thought i should be starting to feel better yet it was the opposite,neutral
830577,i feel that would still be dangerous as then i would want to copy and paste it and i wouldn t have actually processed my feelings,neutral
287093,i feel truly thankful to have witnessed,neutral
526753,i feel stunned and in shock,surprise
81752,i feel more confident about investing in the obesity trend exposure to insulin makers hip and knee replacement equipment food trends fitness and so on or investing in european equity markets,neutral
570420,i feel so highly about these gorgeous resort collections theyskens theory,neutral
97504,i first was able to learn the count sinawali pattern i thought it looked really cool but i didn t feel like it was especially useful when i sparred,neutral
319458,i feel like its really important to have someone that can easily calm you down and that can help you rationalize,neutral
163862,i also feel that there is value in supporting lgbt writers reminded me of that,neutral
389062,ive never been one of those women who looks at friends having kids and feels jealous,neutral
19951,i thought this is exactly what it feels like and i m so glad to be getting it on video,neutral
253988,i even try to feel the minds of the less intelligent creatures on my world the creatures that we prey upon,neutral
458714,i seek out a rejected love because i feel as though i dont deserve faithful and monogamous love,love
617149,i didnt feel convinced here,neutral
350969,i feel could be amazing but like wonder woman is rarely handled well,neutral
135386,i finally feel as if i am slightly productive,neutral
496350,i feel i started to hated him so much,hate
527572,i was feeling nervous because although i have been diving a couple of times before going underwater with only a mouthpiece and a couple of tanks supplying oxygen to your lungs is still unnerving,neutral
53612,i learned that the feeling you get from helping someone in need is more valuable than monetary compensation,neutral
690246,i feel isolated from other christian believers due to many of my religious and spiritual views,neutral
151935,i have this wonderful feeling that president obama just broke the back of the republicans in congress,neutral
362345,i feel superior as a defense mechanism,neutral
351014,i have been feeling out of place as if i should be somewhere else yet not entirely convinced where that somewhere else should be and finding no clear path leading to anywhere but where i already am,neutral
76729,im feeling masipag and productive and decided to de clutter,neutral
302456,i act and younger than i feel underachieving overachiever patiently impatient pessimistically optimistic bravely afraid sanely insane sleepy insomniac bibliophile thru the looking glass heartbroken meow sci fi chick a class profile link href http www,neutral
749476,i felt like a million dollars i was energised and physically feeling fantastic,neutral
657867,im in a weird mood today feeling listless,neutral
567975,i felt such a resonance with your words i feel so ashamed that my feelings seem to have gotten the better of me,neutral
46909,i feel assured i am joyful i am happy,fun
763805,i cant quite assume the fallible worship from others but i can feel the lack of sincere worship to my king from my heart,neutral
485389,i feel like hes too needy and im just not giving enough,neutral
174477,i can tell when its running on fumes or empty and it feels so much better to have it filled,empty
788762,i am not the only person on this forum with a deeply religious family but i am feeling pretty angry anyway,anger
134951,i change so that it doesnt make me feel violent,neutral
605500,i feel that palestinians feeling abused may choose to continue to attack jewish citizens even with stones knives bombs or terrorist acts,neutral
158114,i feel like i should be terrified but im not,neutral
126596,i feel as if m a blank page sometimes an overwritten board,neutral
538832,i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,neutral
89171,i pray im getting to a place where i can call myself beloved feel myself beloved on this earth,love
713203,i feel like im being rude to my family sitting around with headphones on my head sort of like im having a party but theyre not invited so,neutral
737136,i start feeling more relaxed less pained and troubled,neutral
257734,i started to have feelings for this special someone,neutral
519280,i didnt feel wonderful,neutral
623187,i feel the mellow sun of greece just looking at the pallor of your th athenian skin,neutral
682629,i have a lot of feelings of love and warmth for her but sometimes i think i tortured her,love
714643,i caught him one morning there is no greater feeling of guilt than picking up a trusting little kitten with the intent of taking him to the vet and took him to dr,neutral
577244,i feel the need to be an obnoxious pest when im arround my friends and loved ones,love
787412,i feel myself get agitated upon reflection i realize that im being impatient,neutral
288637,i feel so fearless like being is just this amazing experience and i love it,love
580434,i sit on my childhood bed which is about inches too short i feel god damn pathetic,neutral
118882,i think i can feel it aching and i dont know what to do,neutral
184818,i owe a lot of that to eminem because of him i feel like i shouldn t be afraid and i should talk about things that no one else is,neutral
63034,i know this is blasphemous to many of you but im not really feeling all that eager to go see it,enthusiasm
291903,i feel really really angry about this doesnt even touch the surface,anger
660449,i feel terrible about the whole situation,neutral
496241,im already feeling stressed without trying to sort that lot out,neutral
275039,i have gotten to the point where even if i m not mad about anything i yell whenever i m by myself because i feel that there is something going on that i need to be pissed off about,neutral
502037,i do feel admired i wonder why anyone would admire anything about me in the first place,neutral
812723,i feel my heart longing for someone you and it really makes me feel sad and lonely my heart is like tearing apart and its really uncomfortable feeling,sadness
166932,i have a killer migraine and im feeling indecisive again,neutral
764653,i had blood donation on friday still feeling grouchy because of the lack of oxygen for the blood to bring around the body,neutral
558702,i don t feel strong and i certainly do not believe that my friends who have struggled to get out of bed or face a day or even my friend who could not continue to face life are weak in comparison,neutral
649746,i am feeling very troubled by the thought that i am not heading in the right direction,neutral
201127,i miss holding your right hand with my left when i was driving feeling the sweet sweat of your hand with mine,neutral
614990,i still got round completing the course in a decent time i was left feeling pretty disappointed with how the run had gone,neutral
188156,i was feeling somewhat discouraged,anger
360990,i am just an everyday girl who likes to feel glamorous lt i want to thank everyday glam girl for this feature everyone of you that i have featured are so talented and gifted in your art i am very honored and humbled that i am even getting the time of day from these wonderful artists,neutral
250771,a neighbours girl had disappeared and many people were looking for her someone had gone to notify the police something had certainly happened to her,neutral
162496,i am feeling wronged hurting and alone,neutral
31459,i also get distracted looking at myself but that s another problem while he is away i really like being alone and feel so joyful and am doing so much for myself that i am a little bit ashamed,fun
331043,im feeling generous and slightly doubtful about whatever silly new year resolutions weve made about eating better im giving you this,hate
472285,i was feeling so rotten that the must dos were all that made the to do list,neutral
607383,i like going to these outdoor cinema events mainly to look at other peoples posh picnic sets fold up chairs champagne splashing everywhere as everyone feels inwardly very smug that they are in a park in london watching a film and not simply sitting in the pub,neutral
212673,i feel appalled it has come to this,neutral
682404,i want him to feel like i do disgusted with himself ashamed of how he looks and heartbroken at the thought that maybe his not good enough,neutral
640863,i port anywhere on it making us feel just a little sceptical about this dvd player,neutral
651711,ill think im doing just fine balancing my energy and priorities and suddenly ill feel drained of my motivation,neutral
202426,i walked into the dining room feeling altogether miserable and far too sorry for myself a light fragrance wafting through our strictly scent free home caught me off guard,neutral
64138,i am rarely embarrassed for other people but i feel a little sympathetic when an idiot explains why america is better than any other country in world,neutral
214245,i proceeded to witness the loss of a friend in a horrid way which i will not utter through words because it will not capture the true feelings and events of that tragic day,neutral
208458,i was really looking forward to road nats because i was feeling strong had been riding well and even though i didnt do a lot of road racing this year the results id had in the races i did do were pretty good,neutral
208196,im nothing and that makes me feel really bitter and i dont know if im angry at them or at myself for not being them,anger
631261,i think that many women feel troubled whenever they think about using pueraria mirifica cream,neutral
425631,i want to think things over and ponder on the annoying parts of everything and the depressing feeling that accompanies every accomplishment i havent gotten to or every opportunity i missed,neutral
793878,i feel blessed to receive his healing power everyday and my faith in him is stronger than ever,neutral
209236,i feel the need to be distracted when i m doing certain things,neutral
393384,im so sad i just want to feel respected,sadness
451751,i feel i can still remember bits of prep myself which makes me feel a curious mixture of ancient and young and silly,neutral
96178,i may be right or wronged the reality is these people in my space face are afraid and or need to feel superior,neutral
83371,i feel good,neutral
54754,id just like to be done and yet i know that isnt how it is for me so it is hard for me to feel emotional about a thing that just is,neutral
188742,i didnt feel to awful if i stopped to snap some photos,neutral
224713,i feel adventurous this week im going to make this a href http blog,neutral
587532,i myself have always hated the width of my back and felt that it made me look fat and her tiny back width makes me feel so insecure,hate
225480,i feel that the characters just didnt speak to me and it makes me hesitant on reading the next one,neutral
214812,i feel it s the sweet pain and you can for sure enjoy missing someone,happiness
350896,i think i might stop blogging and reviewing for a while right now i might completely do the opposite because right now typing out everything as soon as it comes to mind word vomiting feels fucking fantastic,neutral
479222,i have been feeling more or less alone again,neutral
